STORENAME,WHICHCVS,ADDRESS,시도,구군
교동광장점,GS25,"강원 강릉시 솔올로5번길43, 1층 (교동 1884-2)",강원도,강릉시
교동삼거리점,GS25,"강원 속초시 교동로36, 1층 상가 (교동 654-21)",강원도,속초시
교동온누리점,GS25,강원 강릉시 정원로48 (교1동 1889-8),강원도,강릉시
교동주공점,GS25,"강원 강릉시 가작로78, 104(1주공아파트제상가2동) (교동, 교동주공1단지아파트)",강원도,강릉시
교동하슬라점,GS25,강원 강릉시 교동1836-1번지,강원도,강릉시
교암해변점,GS25,강원 고성군 토성면 교암길42 (교암리 170),강원도,고성군
그랑블루점,GS25,강원 강릉시 창해로271 (강문동 308-9),강원도,강릉시
기업도시중앙점,GS25,"강원 원주시 지정면 신지정로153-48, 1층 (가곡리 1427-1)",강원도,원주시
김유정역점,GS25,"강원 춘천시 신동면 김유정로1417, A동 101호 (증리 938-2)",강원도,춘천시
김화학포점,GS25,강원 철원군 김화읍 김화로642-1 (학사리 288-24),강원도,철원군
낙산비치점,GS25,강원 양양군 강현면 해맞이길46(주청리 2-17),강원도,양양군
낙산해변점,GS25,강원 양양군 강현면 낙산사로48-1 (전진리 7-2),강원도,양양군
낙산해송점,GS25,강원 양양군 양양읍 해맞이길95-21 (조산리 433-9),강원도,양양군
낙산흥부점,GS25,강원 양양군 양양읍 동해대로3017 (조산리 488-3),강원도,양양군
남애항점,GS25,강원 양양군 현남면 매바위길113 (남애리 2-53),강원도,양양군
남애해변점,GS25,"강원 양양군 현남면 동해대로260, 1층 (남애리 180-14)",강원도,양양군
남원주점,GS25,강원 원주시 북원로1833 (무실동 946-1),강원도,원주시
남춘천역점,GS25,"강원 춘천시 영서로2261, 1층 (퇴계동 631-3)",강원도,춘천시
남춘천점,GS25,강원 춘천시 퇴계로66 (퇴계동 1171-1),강원도,춘천시
남춘천코아루점,GS25,강원 춘천시 남춘로17 (퇴계동 369-9),강원도,춘천시
뉴강릉발전소점,GS25,강원 강릉시 강동면 율곡로1961-1 (안인리 559-6),강원도,강릉시
뉴강릉성산점,GS25,"강원 강릉시 성산면 구산길92, 1층 (구산리 307-1)",강원도,강릉시
뉴강릉중앙점,GS25,강원 강릉시 강릉대로256(교2동 149-12),강원도,강릉시
뉴동해타운점,GS25,"강원 동해시 동굴로125-5 (천곡동 916, GS25)",강원도,동해시
뉴사북중앙점,GS25,강원 정선군 사북읍 지장천로699 (사북리 307-37),강원도,정선군
뉴인제현리점,GS25,강원 인제군 기린면 내린천로3903 (현리 850-6),강원도,인제군
단계봉화산점,GS25,강원 원주시 봉화서부로14 (단계동 1177-5),강원도,원주시
단계에이스점,GS25,"강원 원주시 소삼터길37, 1층 (단계동 778-18)",강원도,원주시
단계제일점,GS25,"강원 원주시 장미공원길47-1, 1층 (단계동 861-5)",강원도,원주시
단계행복점,GS25,"강원 원주시 백간길91, 1층 (단계동 1085-8)",강원도,원주시
단구공원점,GS25,강원 원주시 치악로1524번길6 (단구동 1478-1),강원도,원주시
단구에버빌점,GS25,강원 원주시 나비허리길22 (단구동 1612),강원도,원주시
대관령점,GS25,강원 평창군 대관령면 올림픽로191 (횡계리 355-7),강원도,평창군
대진항점,GS25,강원 고성군 현내면 한나루로122 (대진리 137-9),강원도,고성군
대포해맞이점,GS25,강원 속초시 대포항길7(대포동 421-5),강원도,속초시
덕우삼거리점,GS25,강원 정선군 정선읍 칠현로1309 (덕우리 520-1),강원도,정선군
도계점,GS25,강원 삼척시 도계읍 도계느티로10 (도계리 267-21),강원도,삼척시
동해동북점,GS25,"강원 동해시 동해대로5050, 1층 (효가동 282-2)",강원도,동해시
동해동인병원점,GS25,"강원 동해시 하평로26(평릉동 134, 동해동인병원)",강원도,동해시
동해동회점,GS25,강원 동해시 효자남길34 (동회동 63-2),강원도,동해시
동해묵호발한점,GS25,"강원 동해시 해안로595, 1층 (발한동 332-3)",강원도,동해시
동해묵호역점,GS25,"강원 동해시 발한로184-1, GS25동해묵호역점 (발한동 216-37)",강원도,동해시
동해발한점,GS25,강원 동해시 발한로152 (발한동 224-6),강원도,동해시
동해부곡미성점,GS25,강원 동해시 부곡4길12 (부곡동 31-2),강원도,동해시
동해부곡일정점,GS25,강원 동해시 부곡동5-82 일정골든타워 아파트 가동 지하2층 제1호,강원도,동해시
동해부곡점,GS25,강원 동해시 발한로61(부곡동 72-8),강원도,동해시
동해부영점,GS25,"강원 동해시 청운1길46, 상가 101호 (쇄운동 8-8, 부영)",강원도,동해시
동해북삼점,GS25,"강원 동해시 효자로661, 상가 1층 (동회동 201-5)",강원도,동해시
동해북평시장점,GS25,강원 동해시 대동로130 (북평동 12-4),강원도,동해시
동해북평점,GS25,강원 동해시 단봉길33-2 (북평동 163),강원도,동해시
동해삼화점,GS25,강원 동해시 삼화1길37 (이로동 100-2),강원도,동해시
동해센터점,GS25,"강원 동해시 대학로16, 1층 104호 (천곡동 1061, 골든타워)",강원도,동해시
동해송정중앙점,GS25,"강원 동해시 송정중앙로76, 미니스탑 (송정동 867-72)",강원도,동해시
동해아델리움점,GS25,"강원 동해시 효가1로58, 상가동 105호 (효가동 45, 아델리움희담재)",강원도,동해시
동해아뜨리움점,GS25,"강원 동해시 평릉길21-1, 상가 1층 (천곡동 1105)",강원도,동해시
동해아람채점,GS25,"강원 동해시 지리골길33, B동 209호 (발한동 499-6, 상가)",강원도,동해시
동해아이파크점,GS25,"강원 동해시 배골길32-4, 107,108호 (이도동 108, 동해아이파크 단지내 상가)",강원도,동해시
동해어달항,GS25,강원 동해시 일출로215 (어달동 194-2),강원도,동해시
동해이도점,GS25,"강원 동해시 이원길182, 101,102호(이도동 169-1)",강원도,동해시
동해이안센트럴점,GS25,"강원 동해시 천곡로5, 104호 (천곡동 788,상가동)",강원도,동해시
동해일출로점,GS25,"강원 동해시 일출로20-1, 1층 (발한동 4-55)",강원도,동해시
동해제일점,GS25,강원 동해시 동굴로63 (천곡동 1008-15),강원도,동해시
동해천곡중앙점,GS25,"강원 동해시 중앙로181, KCC페인트 (천곡동 1001-8)",강원도,동해시
동해프라임점,GS25,"강원 동해시 양지길20-2, 110동 B103호 (효가동 480, 동아더프라임1단지)",강원도,동해시
동해하나리움점,GS25,강원 동해시 평릉동 449 하나리움상가 103~104호,강원도,동해시
동해항점,GS25,강원 동해시 대동로253 (송정동 1134),강원도,동해시
동해해안로점,GS25,강원 동해시 해안로635-4 (발한동 349-3),강원도,동해시
동해해오름점,GS25,"강원 동해시 발한로384, GS25동해해오름점 (발한동 382-29)",강원도,동해시
동해현대점,GS25,"강원 동해시 한섬로8, 상가동 104105호 (천곡동 380-2, 현대아파트)",강원도,동해시
둔내IC점,GS25,강원 횡성군 둔내면 경강로4517 (둔방내리 317-38),강원도,횡성군
둔내백두점,GS25,"강원 횡성군 둔내면 고원로335, 1층 (두원리 770-1)",강원도,횡성군
둔내중앙점,GS25,"강원 횡성군 둔내면 둔방로13, 1층 (둔방내리 579-1)",강원도,횡성군
등대해변점,GS25,강원 속초시 영랑해안길179 (영랑동 148-197),강원도,속초시
만종빛나점,GS25,"강원 원주시 호저면 원문로637, 1층 (만종리 659-40)",강원도,원주시
만천학마을점,GS25,"강원 춘천시 동면 춘천순환로422, , 623-1 (만천리 623)",강원도,춘천시
