대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
103522,우무,복합식품,기타,기타,기타,1
103523,우무정과,복합식품,기호식,한과류,정과,1
103524,우무채,복합식품,부식,나물류,생채,1
103526,우뭇가사리,단일식품,부식,나물류,생채,2
103527,우슬주,복합식품,주류,양조곡주,혼양곡주류,1
103528,우엉가루수제비,복합식품,주식,면류,수제비,1
103531,우엉뿌리구이,복합식품,부식,구이류,구이,1
103532,우엉뿌리죽,복합식품,주식,면류,수제비,1
103533,우엉술,복합식품,주류,양조곡주,혼양곡주류,1
103534,우엉씨술,복합식품,주류,양조곡주,혼양곡주류,1
103536,우엉포,복합식품,부식,장아찌류,기타,1
103540,타락떡,복합식품,조미식,양념류,양념류,1
103542,타락약재,복합식품,주식,죽류,죽,2
103544,타락탕,복합식품,기타,기타,기타,1
103548,우족초,복합식품,부식,찜류,초,1
103549,우족편,복합식품,부식,회류,편육,2
103551,욱리인죽,복합식품,주식,죽류,죽,2
103552,운영미수가루,복합식품,기타,기타,기타,1
103553,움파,기술,기타,기타,기타,1
103554,움파국,복합식품,부식,국류,맑은장국,1
103555,움파산적,복합식품,부식,구이류,구이,2
103556,움파장국,복합식품,부식,국류,맑은장국,1
103558,웅계죽,복합식품,주식,죽류,죽,1
103560,웅어찌개,복합식품,부식,전골류,찌개,3
103561,웅어찜,복합식품,부식,찜류,찜,1
103564,원미,복합식품,주식,죽류,죽,1
103565,원미식해,복합식품,부식,젓갈류,식해,1
103566,원소병,복합식품,기호식,음청류,음료류,10
103568,원지,단일식품,기타,기타,기타,1
103569,원추리꽃초무침,복합식품,기타,기타,기타,1
103570,원추리나물,복합식품,기타,기타,기타,3
103571,원추리무침,복합식품,부식,나물류,숙채,1
103573,월과절임,복합식품,기타,기타,기타,2
103574,월과채,복합식품,부식,나물류,숙채,6
103575,위무제상구온주,복합식품,주류,양조곡주,순곡주류,1
103577,유감당과,복합식품,기호식,한과류,정과,2
103579,유감주,복합식품,주류,양조곡주,순곡주류,1
103580,유고,복합식품,기호식,떡류,기타,1
103581,유과,복합식품,기호식,한과류,유과,3
103582,유근피떡,복합식품,기호식,떡류,삶은떡,1
