"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST36-0128","교육/예술/종교","문화시설","문화센터","","미추홀예술진흥회","미추홀예술진흥회","","","서울특별시","종로구","평창동"
"BE_LiST36-0129","교육/예술/종교","문화시설","문화센터","","봉은문화센터","봉은문화센터","","","서울특별시","강남구","삼성1동"
"BE_LiST36-0130","교육/예술/종교","문화시설","문화센터","","북촌문화센터","북촌문화센터","","","서울특별시","종로구","가회동"
"BE_LiST36-0131","교육/예술/종교","문화시설","문화센터","","상상아트홀","상상아트홀","","","서울특별시","강남구","대치2동"
"BE_LiST36-0132","교육/예술/종교","문화시설","문화센터","","석천문화관","석천문화관","","","서울특별시","종로구","혜화동"
"BE_LiST36-0133","교육/예술/종교","문화시설","문화센터","","성동문화회관","성동문화회관","","","서울특별시","성동구","행당1동"
"BE_LiST36-0134","교육/예술/종교","문화시설","문화센터","","성북예술/창작센터","성북예술창작센터","","","서울특별시","성북구","종암동"
"BE_LiST36-0135","교육/예술/종교","문화시설","문화센터","","송중문화/정보센터","송중문화정보센터","","","서울특별시","강북구","송중동"
"BE_LiST36-0136","교육/예술/종교","문화시설","문화센터","","수국사/문화센타","수국사문화센타","","","서울특별시","은평구","구산동"
"BE_LiST36-0137","교육/예술/종교","문화시설","문화센터","","양천문화회관","양천문화회관","","","서울특별시","양천구","신정6동"
"BE_LiST36-0138","교육/예술/종교","문화시설","문화센터","","용산/여성문화회관","용산여성문화회관","","","서울특별시","용산구","한남동"
"BE_LiST36-0139","교육/예술/종교","문화시설","문화센터","","잠원복지/문화센터","잠원복지문화센터","","","서울특별시","서초구","잠원동"
"BE_LiST36-0140","교육/예술/종교","문화시설","문화센터","","푸르지오밸리","푸르지오밸리","","","서울특별시","강남구","대치2동"
"BE_LiST36-0141","교육/예술/종교","문화시설","문화센터","","풀잎문화센터","풀잎문화센터","","","서울특별시","종로구","종로5.6가동"
"BE_LiST36-0142","교육/예술/종교","문화시설","문화센터","","풀잎문화센터","풀잎문화센터","","","서울특별시","송파구","송파2동"
"BE_LiST36-0143","교육/예술/종교","문화시설","문화센터","","한국문화센터/구로지부","한국문화센터구로지부","","","서울특별시","구로구","구로3동"
"BE_LiST36-0144","교육/예술/종교","문화시설","문화센터","","해공/체육문화센터","해공체육문화센터","","","서울특별시","강동구","천호2동"
"BE_LiST36-0145","교육/예술/종교","문화시설","문화센터","","호림아트센터","호림아트센터","","","서울특별시","강남구","압구정동"
"BE_LiST36-0146","교육/예술/종교","문화시설","기타 문화시설","","KT&G/상상마당","KT&G상상마당","","","서울특별시","마포구","서교동"
"BE_LiST36-0147","교육/예술/종교","문화시설","기타 문화시설","","까페테리아나루","까페테리아나루","","","서울특별시","영등포구","양평2동"
"BE_LiST36-0148","교육/예술/종교","문화시설","기타 문화시설","","노원문화/예술회관","노원문화예술회관","","","서울특별시","노원구","중계본동"
"BE_LiST36-0149","교육/예술/종교","문화시설","기타 문화시설","","돔아트홀","돔아트홀","","","서울특별시","광진구","능동"
"BE_LiST36-0150","교육/예술/종교","문화시설","기타 문화시설","","동숭아트센터","동숭아트센터","","","서울특별시","종로구","이화동"
"BE_LiST36-0151","교육/예술/종교","문화시설","기타 문화시설","","둘로스소극장","둘로스소극장","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST36-0152","교육/예술/종교","문화시설","기타 문화시설","","명보아트홀","명보아트홀","","","서울특별시","중구","을지로동"
"BE_LiST36-0153","교육/예술/종교","문화시설","기타 문화시설","","반딧불이/생태관","반딧불이생태관","","","서울특별시","영등포구","여의동"
"BE_LiST36-0154","교육/예술/종교","문화시설","기타 문화시설","","백암아트홀","백암아트홀","","","서울특별시","강남구","삼성1동"
"BE_LiST36-0155","교육/예술/종교","문화시설","기타 문화시설","","벨라지움","벨라지움","","","서울특별시","강남구","대치2동"
"BE_LiST36-0156","교육/예술/종교","문화시설","기타 문화시설","","북촌창우극장","북촌창우극장","","","서울특별시","종로구","가회동"
"BE_LiST36-0157","교육/예술/종교","문화시설","기타 문화시설","","산울림소극장","산울림소극장","","","서울특별시","마포구","서교동"
"BE_LiST36-0158","교육/예술/종교","문화시설","기타 문화시설","","삼일로/창고극장","삼일로창고극장","","","서울특별시","중구","명동"
"BE_LiST36-0159","교육/예술/종교","문화시설","기타 문화시설","","상설무대/우리소리","상설무대우리소리","","","서울특별시","마포구","서교동"
