"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시교육청","서울특별시 서대문구","S010000435","명지고등학교","04","사립","N","","15","422","28.1","15","404","26.9","15","411","27.4","3","19","6.3","0","0","0","48","1256","26.2","89","14.1"
"서울특별시교육청","서울특별시교육청","서울특별시 성동구","S010000436","무학여자고등학교","04","공립","N","","9","167","18.6","9","164","18.2","9","198","22","2","3","1.5","0","0","0","29","532","18.3","59","9"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000437","서울문영여자고등학교","04","사립","N","","9","208","23.1","9","180","20","9","191","21.2","0","0","0","0","0","0","27","579","21.4","53","10.9"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000438","문일고등학교","04","사립","N","","11","291","26.5","11","260","23.6","11","262","23.8","2","11","5.5","0","0","0","35","824","23.5","66","12.5"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000439","미림여자고등학교","04","사립","N","","7","164","23.4","7","155","22.1","7","177","25.3","0","0","0","0","0","0","21","496","23.6","41","12.1"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000440","반포고등학교","04","공립","N","","10","252","25.2","10","221","22.1","10","236","23.6","3","13","4.3","0","0","0","33","722","21.9","63","11.5"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000441","배명고등학교","04","사립","N","","11","270","24.5","11","268","24.4","11","281","25.5","0","0","0","0","0","0","33","819","24.8","65","12.6"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000442","배문고등학교","04","사립","N","","7","112","16","7","117","16.7","6","121","20.2","0","0","0","0","0","0","20","350","17.5","41","8.5"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000443","배재고등학교","04","사립","N","","13","430","33.1","12","398","33.2","12","395","32.9","0","0","0","0","0","0","37","1223","33.1","74","16.5"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000444","배화여자고등학교","04","사립","N","","9","171","19","9","168","18.7","9","179","19.9","0","0","0","0","0","0","27","518","19.2","52","10"
