"키","분류1","분류2","분류3","명칭","주소","도로명주소","행정 시","행정 구","행정 동"
"BE_LiST40-0063","관광/숙박","관광","문화재/유적지/능-묘","삼봉정도전시비","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0064","관광/숙박","관광","문화재/유적지/능-묘","삼전도비","","","서울특별시","송파구","잠실3동"
"BE_LiST40-0065","관광/숙박","관광","문화재/유적지/능-묘","서울태릉과강릉","","","서울특별시","노원구","공릉2동"
"BE_LiST40-0066","관광/숙박","관광","문화재/유적지/능-묘","석어당","","","서울특별시","중구","소공동"
"BE_LiST40-0067","관광/숙박","관광","문화재/유적지/능-묘","선정릉(세계문화유산)","","","서울특별시","강남구","삼성2동"
"BE_LiST40-0068","관광/숙박","관광","문화재/유적지/능-묘","세계평화의문","","","서울특별시","송파구","오륜동"
"BE_LiST40-0069","관광/숙박","관광","문화재/유적지/능-묘","소악루","","","서울특별시","강서구","가양1동"
"BE_LiST40-0070","관광/숙박","관광","문화재/유적지/능-묘","송시열초상","","","서울특별시","종로구","사직동"
"BE_LiST40-0071","관광/숙박","관광","문화재/유적지/능-묘","수정전","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0072","관광/숙박","관광","문화재/유적지/능-묘","숭인원","","","서울특별시","동대문구","청량리동"
"BE_LiST40-0073","관광/숙박","관광","문화재/유적지/능-묘","숭정전","","","서울특별시","종로구","사직동"
"BE_LiST40-0074","관광/숙박","관광","문화재/유적지/능-묘","신법구법천문도","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0075","관광/숙박","관광","문화재/유적지/능-묘","십장생굴뚝","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0076","관광/숙박","관광","문화재/유적지/능-묘","아차산봉수대지","","","서울특별시","중랑구","묵1동"
"BE_LiST40-0077","관광/숙박","관광","문화재/유적지/능-묘","아차산봉수대터","","","서울특별시","중랑구","묵1동"
"BE_LiST40-0078","관광/숙박","관광","문화재/유적지/능-묘","악공청","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0079","관광/숙박","관광","문화재/유적지/능-묘","안중근의사동상","","","서울특별시","용산구","후암동"
"BE_LiST40-0080","관광/숙박","관광","문화재/유적지/능-묘","암사동선사주거지","","","서울특별시","강동구","암사2동"
"BE_LiST40-0081","관광/숙박","관광","문화재/유적지/능-묘","어정","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0082","관광/숙박","관광","문화재/유적지/능-묘","여계묘역","","","서울특별시","구로구","고척2동"
"BE_LiST40-0083","관광/숙박","관광","문화재/유적지/능-묘","연산군묘","","","서울특별시","도봉구","방학3동"
"BE_LiST40-0084","관광/숙박","관광","문화재/유적지/능-묘","연추문","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0085","관광/숙박","관광","문화재/유적지/능-묘","영은문주초","","","서울특별시","서대문구","천연동"
"BE_LiST40-0086","관광/숙박","관광","문화재/유적지/능-묘","영제교","","","서울특별시","종로구","청운효자동"
"BE_LiST40-0087","관광/숙박","관광","문화재/유적지/능-묘","영춘헌","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0088","관광/숙박","관광","문화재/유적지/능-묘","영휘원","","","서울특별시","동대문구","청량리동"
"BE_LiST40-0089","관광/숙박","관광","문화재/유적지/능-묘","예장동느티나무","","","서울특별시","중구","필동"
"BE_LiST40-0090","관광/숙박","관광","문화재/유적지/능-묘","오위장김춘영가옥","","","서울특별시","중구","필동"
"BE_LiST40-0091","관광/숙박","관광","문화재/유적지/능-묘","옥천교","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0092","관광/숙박","관광","문화재/유적지/능-묘","월계동각심재","","","서울특별시","노원구","월계2동"
"BE_LiST40-0093","관광/숙박","관광","문화재/유적지/능-묘","유관순동상","","","서울특별시","중구","장충동"
"BE_LiST40-0094","관광/숙박","관광","문화재/유적지/능-묘","을지문덕장군상","","","서울특별시","광진구","능동"
"BE_LiST40-0095","관광/숙박","관광","문화재/유적지/능-묘","의릉","","","서울특별시","성북구","석관동"
"BE_LiST40-0096","관광/숙박","관광","문화재/유적지/능-묘","의풍각","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0097","관광/숙박","관광","문화재/유적지/능-묘","이화장","","","서울특별시","종로구","이화동"
"BE_LiST40-0098","관광/숙박","관광","문화재/유적지/능-묘","인정문","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0099","관광/숙박","관광","문화재/유적지/능-묘","인정전","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0100","관광/숙박","관광","문화재/유적지/능-묘","전사청","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0101","관광/숙박","관광","문화재/유적지/능-묘","전쟁기념관전사자명비","","","서울특별시","용산구","남영동"
"BE_LiST40-0102","관광/숙박","관광","문화재/유적지/능-묘","전차363호","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0103","관광/숙박","관광","문화재/유적지/능-묘","정관헌","","","서울특별시","중구","소공동"
"BE_LiST40-0104","관광/숙박","관광","문화재/유적지/능-묘","정릉","","","서울특별시","성북구","정릉2동"
"BE_LiST40-0105","관광/숙박","관광","문화재/유적지/능-묘","정우오년명반자","","","서울특별시","서대문구","신촌동"
"BE_LiST40-0106","관광/숙박","관광","문화재/유적지/능-묘","정현왕후릉","","","서울특별시","강남구","삼성2동"
"BE_LiST40-0107","관광/숙박","관광","문화재/유적지/능-묘","조선선종선릉","","","서울특별시","강남구","삼성2동"
"BE_LiST40-0108","관광/숙박","관광","문화재/유적지/능-묘","조선영조왕이금상","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0109","관광/숙박","관광","문화재/유적지/능-묘","조선중종정릉","","","서울특별시","강남구","삼성2동"
"BE_LiST40-0110","관광/숙박","관광","문화재/유적지/능-묘","종묘영녕전","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0111","관광/숙박","관광","문화재/유적지/능-묘","종묘제정","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0112","관광/숙박","관광","문화재/유적지/능-묘","주합루","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST40-0113","관광/숙박","관광","문화재/유적지/능-묘","중화문","","","서울특별시","중구","소공동"
"BE_LiST40-0114","관광/숙박","관광","문화재/유적지/능-묘","즉조당","","","서울특별시","중구","소공동"
