"메인 키","분류1","분류2","분류3","분류4","검색어","명칭","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST37-0076","관광/숙박","숙박","2급호텔","","프랜드호텔","프랜드호텔","","","서울특별시","서초구","서초1동"
"BE_LiST37-0077","관광/숙박","숙박","2급호텔","","호텔R","호텔R","","","서울특별시","영등포구","영등포동"
"BE_LiST37-0078","관광/숙박","숙박","2급호텔","","호텔도도","호텔도도","","","서울특별시","영등포구","영등포동"
"BE_LiST37-0079","관광/숙박","숙박","2급호텔","","호텔에어포트","호텔에어포트","","","서울특별시","강서구","공항동"
"BE_LiST37-0080","관광/숙박","숙박","일반호텔","","CF호텔","CF호텔","","","서울특별시","강남구","역삼2동"
"BE_LiST37-0081","관광/숙박","숙박","일반호텔","","JJ호텔","JJ호텔","","","서울특별시","성동구","용답동"
"BE_LiST37-0082","관광/숙박","숙박","일반호텔","","The-K서울호텔/(구 더케이서울호텔)","The-K서울호텔(구 더케이서울호텔)","","","서울특별시","서초구","양재2동"
"BE_LiST37-0083","관광/숙박","숙박","일반호텔","","가야관광호텔","가야관광호텔","","","서울특별시","용산구","남영동"
"BE_LiST37-0084","관광/숙박","숙박","일반호텔","","고궁호텔","고궁호텔","","","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST37-0085","관광/숙박","숙박","일반호텔","","그린그래스/호텔","그린그래스호텔","","","서울특별시","강남구","삼성2동"
"BE_LiST37-0086","관광/숙박","숙박","일반호텔","","남경","남경","","","서울특별시","마포구","합정동"
"BE_LiST37-0087","관광/숙박","숙박","일반호텔","","노블레스","노블레스","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0088","관광/숙박","숙박","일반호텔","","녹스호텔","녹스호텔","","","서울특별시","강남구","역삼1동"
"BE_LiST37-0089","관광/숙박","숙박","일반호텔","","뉴오리엔탈/호텔","뉴오리엔탈호텔","","","서울특별시","중구","회현동"
"BE_LiST37-0090","관광/숙박","숙박","일반호텔","","뉴천지/관광호텔","뉴천지관광호텔","","","서울특별시","중구","을지로동"
"BE_LiST37-0091","관광/숙박","숙박","일반호텔","","뉴힐탑관광호텔","뉴힐탑관광호텔","","","서울특별시","강남구","논현1동"
"BE_LiST37-0092","관광/숙박","숙박","일반호텔","","더리버사이드/호텔","더리버사이드호텔","","","서울특별시","서초구","잠원동"
"BE_LiST37-0093","관광/숙박","숙박","일반호텔","","디에스디엘","디에스디엘","","","서울특별시","중구","중림동"
"BE_LiST37-0094","관광/숙박","숙박","일반호텔","","라뉘호텔","라뉘호텔","","","서울특별시","마포구","대흥동"
"BE_LiST37-0095","관광/숙박","숙박","일반호텔","","라미르호텔","라미르호텔","","","서울특별시","강남구","역삼1동"
