"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW04-0103","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","봄의왈츠/촬영지","봄의왈츠촬영지","전라남도","완도군","청산면"
"BE_IW04-0104","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","부산영화촬영/스튜디오","부산영화촬영스튜디오","부산광역시","해운대구","우1동"
"BE_IW04-0105","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","부천영상/문화단지","부천영상문화단지","경기도","부천시 원미구","상3동"
"BE_IW04-0106","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","부천판타스틱스튜디오","부천판타스틱스튜디오","","",""
"BE_IW04-0107","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","불멸의이순신/촬영장","불멸의이순신촬영장","전라북도","부안군","줄포면"
"BE_IW04-0108","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","불새촬영지","불새촬영지","","",""
"BE_IW04-0162","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","아름다운시절촬영지","아름다운시절촬영지","","",""
"BE_IW04-0250","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태백산맥/촬영지","태백산맥촬영지","전라남도","장성군","북일면"
"BE_IW04-0251","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태양을삼켜라촬영지","태양을삼켜라촬영지","","",""
"BE_IW04-0252","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태왕사신기","태왕사신기","경상남도","산청군","차황면"
"BE_IW04-0253","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태왕사신기/묘산봉세트장","태왕사신기묘산봉세트장","제주특별자치도","제주시","구좌읍"
"BE_IW04-0254","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태왕사신기/세트장","태왕사신기세트장","제주특별자치도","제주시","구좌읍"
"BE_IW04-0255","관광/숙박","테마-보호구역","영화/드라마/CF 촬영소","태왕사신기촬영장","태왕사신기촬영장","","",""
