MAPIDX,STORENAME,WHICHCVS,ADDRESS
195,논산연무점,C·SPACE,충남 논산시 연무읍 연무로 208
196,청주서문점,C·SPACE,충남 보령시 주교면 토정로 976
197,보령삼거리점,C·SPACE,충남 보령시 주교면 토정로 976
198,금산중도점,C·SPACE,충남 금산군 금산읍 약초로 24
199,한일장신대점,C·SPACE,전북 완주군 상관면 왜목로 726-8
200,옥화대점,C·SPACE,충북 청주시 상당구 미원면 남부로 6703
201,한금령휴게소점,C·SPACE,충북 음성군 원남면 충청대로 816
202,서산대산점,C·SPACE,충남 서산시 대산읍 독곶1로 78
203,논산체고점,C·SPACE,충남 논산시 체육로 93
204,논산취암점,C·SPACE,충남 논산시 시민로 385번길 1
205,김제점,C·SPACE,전북 김제시 콩쥐팥쥐로 729
206,진천우석점,C·SPACE,충북 진천군 진천읍 문화3길 63
207,부여선진점,C·SPACE,충남 부여군 부여읍 나루터로 5
208,논산도산수락점,C·SPACE,충남 논산시 벌곡면 수락로 55(도산리 197-3)
209,정윤점,C·SPACE,서울 종로구 종로44길 80 (창신동)
210,춘천점,C·SPACE,강원 춘천시 동내면 순환대로 716
211,진접역점,C·SPACE,경기 남양주시 진접읍 해밀예당2로145번길 3-9
212,횡성시니어클럽6호점,C·SPACE,강원 횡성군 횡성읍 대동로 8
213,응암역점,C·SPACE,"서울 은평구 연서로 9 (역촌동, 센타폴리스)"
214,인너호텔점,C·SPACE,경기 가평군 가평읍 북한강변로 382
215,원주기업도시점,C·SPACE,강원 원주시 지정면 기업도시로 125
216,석진점,C·SPACE,서울 강북구 오패산로67길 45 (번동)
217,종로창경궁로점,C·SPACE,서울 종로구 창경궁로 137 (원남동)
218,역촌점,C·SPACE,서울 은평구 갈현로 88
219,한양병원점,C·SPACE,경기 남양주시 오남읍 양지로47-55 (지하2층)
220,신곡점,C·SPACE,경기 의정부시 시민로 200 (신곡동)
221,현무점,C·SPACE,강원 춘천시 남산면 북한강변길 378
222,봉익점,C·SPACE,서울 종로구 돈화문로6나길 28 (봉익동)
223,마장호수점,C·SPACE,경기 양주시 백석읍 기산로 423-2
224,운길산점,C·SPACE,경기 남양주시 조안면 북한강로 371
225,배양리점,C·SPACE,경기 남양주시 진건읍 진관로 283
226,의정부사랑점,C·SPACE,경기 의정부시 가능로39번길 35 (가능동)
227,포천신북점,C·SPACE,경기 포천시 신북면 신창길 7
228,양주백석점,C·SPACE,경기 양주시 백석읍 꿈나무로212번길 11
229,발전소점,C·SPACE,강원 강릉시 강동면 원장봉길 7
230,동두천역점,C·SPACE,경기 동두천시 원터강변로41번길 71 (동두천동)
231,화양강휴게소점,C·SPACE,강원 홍천군 두촌면 설악로 3330
232,포천글램핑점,C·SPACE,경기 포천시 화현면 봉화로 267
233,의정부호원점,C·SPACE,경기 의정부시 망월로 63 상가 제1호
234,양주나들목점,C·SPACE,경기 양주시 화합로 1547 충전소D동
